Date,Open,High,Low,Close,Adj Close,Volume
2020-02-03,6.500000,6.590000,6.410000,6.450000,6.410671,1405700
2020-02-04,6.460000,6.690000,6.390000,6.650000,6.609451,2004400
2020-02-05,6.720000,7.100000,6.690000,7.000000,6.957317,2167200
2020-02-06,7.030000,7.130000,6.730000,6.750000,6.708841,2713400
2020-02-07,6.700000,6.750000,6.540000,6.550000,6.510061,2063000
2020-02-10,6.550000,6.830000,6.470000,6.790000,6.748598,1360300
2020-02-11,6.800000,6.980000,6.650000,6.940000,6.897683,1568500
2020-02-12,6.930000,7.080000,6.820000,6.860000,6.818171,1922100
2020-02-13,6.750000,7.080000,6.720000,7.000000,6.957317,1553400
2020-02-14,7.010000,7.190000,6.880000,7.100000,7.056707,1706000
2020-02-18,7.090000,7.250000,7.030000,7.040000,6.997073,2142800
2020-02-19,7.100000,7.440000,7.060000,7.310000,7.265427,2308500
2020-02-20,7.320000,7.780000,7.210000,7.760000,7.712683,3649100
2020-02-21,7.700000,7.750000,7.330000,7.460000,7.414512,3034300
2020-02-24,7.140000,7.140000,6.840000,7.050000,7.007012,3210900
2020-02-25,7.000000,7.280000,6.480000,6.550000,6.510061,4181000
2020-02-26,6.570000,6.620000,5.870000,5.930000,5.893841,7176800
2020-02-27,5.710000,6.200000,5.120000,6.090000,6.052866,6294000
2020-02-28,6.510000,6.650000,5.980000,6.260000,6.221829,7555900
2020-03-02,6.310000,6.320000,5.630000,6.110000,6.072744,4585400
2020-03-03,6.100000,6.130000,5.640000,5.810000,5.774573,3843000
2020-03-04,5.860000,5.900000,5.430000,5.820000,5.784513,4483700
2020-03-05,5.600000,5.610000,4.750000,4.920000,4.890000,5853100
2020-03-06,4.620000,4.730000,4.370000,4.530000,4.530000,4599900
2020-03-09,3.950000,4.070000,3.680000,3.850000,3.850000,3404000
2020-03-10,4.170000,4.290000,3.760000,4.200000,4.200000,3687000
2020-03-11,3.980000,4.070000,3.560000,3.640000,3.640000,4059400
2020-03-12,2.680000,3.150000,2.650000,2.910000,2.910000,8058000
2020-03-13,3.140000,3.270000,2.800000,3.220000,3.220000,6158300
2020-03-16,2.640000,2.900000,2.600000,2.600000,2.600000,8497900
2020-03-17,2.620000,2.750000,1.950000,2.480000,2.480000,7685700
2020-03-18,2.280000,3.000000,2.110000,2.470000,2.470000,7753500
2020-03-19,2.640000,3.470000,2.380000,3.370000,3.370000,8614600
2020-03-20,3.400000,3.600000,3.020000,3.190000,3.190000,5754000
2020-03-23,3.230000,3.400000,2.710000,3.150000,3.150000,6481300
2020-03-24,3.500000,3.560000,3.270000,3.560000,3.560000,5168300
2020-03-25,3.920000,3.980000,3.250000,3.460000,3.460000,8112900
2020-03-26,3.460000,3.950000,3.440000,3.700000,3.700000,5094700
2020-03-27,3.570000,3.750000,3.300000,3.600000,3.600000,3431400
2020-03-30,3.450000,3.500000,3.040000,3.040000,3.040000,4219700
2020-03-31,3.150000,3.290000,3.080000,3.160000,3.160000,3637100
2020-04-01,3.000000,3.040000,2.500000,2.620000,2.620000,5898600
2020-04-02,2.740000,2.780000,2.180000,2.240000,2.240000,8808100
2020-04-03,2.320000,2.340000,2.000000,2.270000,2.270000,7493400
2020-04-06,2.500000,2.970000,2.400000,2.880000,2.880000,6912000
2020-04-07,3.170000,3.730000,3.050000,3.140000,3.140000,8977100
2020-04-08,3.050000,3.320000,2.800000,3.300000,3.300000,7997600
2020-04-09,3.300000,3.300000,2.580000,2.600000,2.600000,13981200
2020-04-13,2.340000,2.360000,1.950000,2.080000,2.080000,19784100
2020-04-14,2.210000,2.370000,2.140000,2.180000,2.180000,11747900
2020-04-15,2.150000,2.460000,2.020000,2.410000,2.410000,11378000
2020-04-16,2.350000,2.490000,2.150000,2.440000,2.440000,6290800
2020-04-17,3.850000,3.850000,3.050000,3.200000,3.200000,26799900
2020-04-20,3.220000,3.440000,3.060000,3.180000,3.180000,10787200
2020-04-21,3.200000,3.380000,3.150000,3.250000,3.250000,5788400
2020-04-22,3.390000,3.390000,3.160000,3.180000,3.180000,4568600
2020-04-23,3.200000,3.250000,3.080000,3.110000,3.110000,4318800
2020-04-24,3.140000,3.200000,3.020000,3.050000,3.050000,3623700
2020-04-27,3.190000,3.400000,3.060000,3.360000,3.360000,5667200
2020-04-28,3.820000,4.750000,3.500000,4.140000,4.140000,21601100
2020-04-29,4.540000,5.530000,4.470000,5.190000,5.190000,27162400
2020-04-30,5.010000,5.090000,4.500000,4.920000,4.920000,11235600
2020-05-01,4.620000,4.700000,4.300000,4.570000,4.570000,6746800
2020-05-04,4.110000,4.780000,4.000000,4.300000,4.300000,5601400
2020-05-05,4.670000,4.690000,3.810000,3.890000,3.890000,7504500
2020-05-06,4.080000,4.100000,3.830000,3.920000,3.920000,3105700
2020-05-07,4.010000,4.180000,3.950000,3.990000,3.990000,4105800
