,Date,Open,High,Low,Close,Adj Close,Volume,date
0,2020-02-03,28319.650391000003,28630.390625,28319.650391000003,28399.810547000005,28399.810547000005,3079100,2020-02-03
1,2020-02-04,28696.740233999997,28904.880858999997,28696.740233999997,28807.630858999997,28807.630858999997,3327500,2020-02-04
2,2020-02-05,29048.730469,29308.890625,29000.849608999997,29290.849608999997,29290.849608999997,3575400,2020-02-05
3,2020-02-06,29388.580077999995,29408.050781,29246.929688,29379.769531,29379.769531,2637000,2020-02-06
4,2020-02-07,29286.919922000005,29286.919922000005,29056.980469,29102.509766000003,29102.509766000003,2528600,2020-02-07
5,2020-02-10,28995.660156,29278.070313,28995.660156,29276.820313,29276.820313,2505100,2020-02-10
6,2020-02-11,29390.710938,29415.390625,29210.470702999995,29276.339844,29276.339844,2795400,2020-02-11
7,2020-02-12,29406.75,29568.570313,29406.75,29551.419922000005,29551.419922000005,3095300,2020-02-12
8,2020-02-13,29436.029297000005,29535.400391000003,29345.929688,29423.310547000005,29423.310547000005,2911500,2020-02-13
9,2020-02-14,29440.470702999995,29463.039063,29283.179688,29398.080077999995,29398.080077999995,2310000,2020-02-14
10,2020-02-18,29282.779297000005,29330.160156,29116.810547000005,29232.189452999995,29232.189452999995,2566000,2020-02-18
11,2020-02-19,29312.699219,29409.089844,29274.380858999997,29348.029297000005,29348.029297000005,2406400,2020-02-19
12,2020-02-20,29296.25,29368.449219,28959.650391000003,29219.980469,29219.980469,2877800,2020-02-20
13,2020-02-21,29146.529297000005,29146.529297000005,28892.699219,28992.410156,28992.410156,3112100,2020-02-21
14,2020-02-24,28402.929688,28402.929688,27912.439452999995,27960.800781,27960.800781,4525800,2020-02-24
15,2020-02-25,28037.650391000003,28149.199219,26997.619141000003,27081.359375,27081.359375,5132700,2020-02-25
16,2020-02-26,27159.460938,27542.779297000005,26890.970702999995,26957.589844,26957.589844,4724500,2020-02-26
17,2020-02-27,26526.0,26775.310547,25752.820313,25766.640625,25766.640625,6649800,2020-02-27
18,2020-02-28,25270.830078,25494.240234,24681.009766,25409.359375,25409.359375,9159900,2020-02-28
19,2020-03-02,25590.509766,26706.169922,25391.960938,26703.320313,26703.320313,6372000,2020-03-02
20,2020-03-03,26762.470703,27084.589844,25706.279297,25917.410156,25917.410156,6470800,2020-03-03
21,2020-03-04,26383.679688,27102.339844,26286.310547,27090.859375,27090.859375,4575900,2020-03-04
