NAME,YEAR,STNELEV,LATITUDE,LONGITUDE,TEMP
ALMA_BACON_CO_AP,1941,58.8,31.5358,-82.5067,10.22
BISMARCK,1941,505.4,46.7708,-100.7603,-10.61
BOSTON_LOGAN_INTL_AP,1941,3.7,42.3606,-71.0106,-4.29
BRISTOL_TRI_CITY_AP,1941,457.2,36.4731,-82.4044,3.06
BUTTE_BERT_MOONEY_AP,1941,1678.2,45.9647,-112.5006,-6.28
CHANUTE_MARTIN_JOHNSON_AP,1941,300.2,37.6703,-95.4842,1.2
CHEYENNE,1941,1867.8,41.1519,-104.8061,-1.19
CHICAGO_MIDWAY_AP_3SW,1941,189.0,41.7372,-87.7775,-1.85
CLEVELAND,1941,232.6,41.4131,-81.86,-2.11
CONCORDIA_MUNI_AP,1941,447.8,39.5514,-97.6508,-1.75
CONCORD_MUNI_AP,1941,105.5,43.1953,-71.5011,-7.9
DES_MOINES_INTL_AP,1941,291.7,41.5339,-93.6531,-2.84
ELY_YELLAND_FLD_AP,1941,1908.7,39.2953,-114.8467,-2.41
EVANSVILLE_REGIONAL_AP,1941,121.9,38.0442,-87.5206,1.61
FARGO_HECTOR_INTL_AP,1941,274.3,46.9253,-96.8111,-13.69
GALESBURG,1941,235.0,40.9464,-90.3856,-3.01
HAYS_1_S,1941,612.6,38.8586,-99.3358,-0.44
ISLAND_PARK,1941,1917.2,44.4189,-111.3714,-9.78
JACKSON_EXP_STN,1941,121.9,35.6214,-88.8456,4.29
LANCASTER_4_WSW,1941,317.0,42.8278,-90.7889,-5.76
LANDER_HUNT_FLD_AP,1941,1704.4,42.8153,-108.7261,-6.09
LAPORTE,1941,257.6,41.6117,-86.7297,-3.68
LEWISBURG_EXP_STN,1941,239.9,35.4139,-86.8086,4.4
LONGMIRE_RAINIER_NPS,1941,841.9,46.7492,-121.812,2.03
LONGMIRE_RAINIER_NPS,1941,841.9,46.75,-121.8167,1.59
MACON_MIDDLE_GA_RGNL_AP,1941,104.5,32.6847,-83.6528,9.14
MILES_CITY_F_WILEY_FLD,1941,799.8,46.4267,-105.8825,-6.57
MOBILE,1941,63.4,30.6794,-88.2397,11.12
MT_WASHINGTON,1941,1910.2,44.2667,-71.2994,-15.14
MYSTIC_LAKE,1941,1994.6,45.2436,-109.7311,-3.56
NASHVILLE_INTL_AP,1941,182.9,36.1189,-86.6892,5.68
NEWARK_WATER_WKS,1941,254.5,40.0875,-82.4128,-2.85
NEWTON,1941,438.9,38.0344,-97.3431,0.64
NEW_BRUNSWICK_3_SE,1941,26.2,40.4719,-74.4364,-1.74
PIERRE_RGNL_AP,1941,531.0,44.3814,-100.2856,-9.08
PRAIRIE_DU_CHIEN,1941,200.6,43.0514,-91.135,-5.3
ROCHESTER_INTL_AP,1941,397.5,43.9042,-92.4917,-8.45
SAINT_JOHNSBURY,1941,213.4,44.42,-72.0194,-10.52
SAN_DIEGO_LINDBERGH_FLD,1941,4.6,32.7336,-117.1831,13.38
SAULT_STE_MARIE,1941,192.0,46.4867,-84.4089,-10.53
SAULT_STE_MARIE_SANDERSON_FLD,1941,220.1,46.4794,-84.3572,-10.71
SAVANNAH_INTL_AP,1941,14.0,32.13,-81.21,10.66
SHERIDAN_CO_AP,1941,1202.4,44.7694,-106.9689,-4.27
SIOUX_FALLS,1941,435.9,43.5878,-96.7289,-6.75
SPRINGFIELD_CAPITAL_AP,1941,181.1,39.8447,-89.6839,-1.43
ST_CLOUD_RGNL_AP,1941,310.3,45.5433,-94.0514,-11.5
TIMBER_LAKE,1941,658.4,45.4283,-101.0764,-10.28
TRIBUNE_1W,1941,1108.3,38.4661,-101.7758,-0.18
WATERTOWN_RGNL_AP,1941,532.8,44.9047,-97.1494,-10.99
WAYNESVILLE_1_E,1941,810.2,35.4867,-82.9683,1.94
ALMA_BACON_CO_AP,1942,58.8,31.5358,-82.5067,9.35
BISMARCK,1942,505.4,46.7708,-100.7603,-6.31
BOSTON_LOGAN_INTL_AP,1942,3.7,42.3606,-71.0106,-2.48
BRISTOL_TRI_CITY_AP,1942,457.2,36.4731,-82.4044,1.7
BUTTE_BERT_MOONEY_AP,1942,1678.2,45.9647,-112.5006,-13.57
CHANUTE_MARTIN_JOHNSON_AP,1942,300.2,37.6703,-95.4842,-0.28
CHEYENNE,1942,1867.8,41.1519,-104.8061,-4.32
CHICAGO_MIDWAY_AP_3SW,1942,189.0,41.7372,-87.7775,-3.48
CLEVELAND,1942,232.6,41.4131,-81.86,-2.59
CONCORDIA_MUNI_AP,1942,447.8,39.5514,-97.6508,-2.29
CONCORD_MUNI_AP,1942,105.5,43.1953,-71.5011,-6.65
DES_MOINES_INTL_AP,1942,291.7,41.5339,-93.6531,-3.93
ELY_YELLAND_FLD_AP,1942,1908.7,39.2953,-114.8467,-4.44
EVANSVILLE_REGIONAL_AP,1942,121.9,38.0442,-87.5206,-0.99
FARGO_HECTOR_INTL_AP,1942,274.3,46.9253,-96.8111,-9.59
GALESBURG,1942,235.0,40.9464,-90.3856,-4.41
HAYS_1_S,1942,612.6,38.8586,-99.3358,-1.87
ISLAND_PARK,1942,1917.2,44.4189,-111.3714,-12.93
JACKSON_EXP_STN,1942,121.9,35.6214,-88.8456,1.02
LANCASTER_4_WSW,1942,317.0,42.8278,-90.7889,-7.68
LANDER_HUNT_FLD_AP,1942,1704.4,42.8153,-108.7261,-11.79
LAPORTE,1942,257.6,41.6117,-86.7297,-5.18
LEWISBURG_EXP_STN,1942,239.9,35.4139,-86.8086,1.86
LONGMIRE_RAINIER_NPS,1942,841.9,46.7492,-121.812,0.08
LONGMIRE_RAINIER_NPS,1942,841.9,46.75,-121.8167,-0.25
