,dates,symbols,prices
0,2020-04-15,1.0,2.0
1,2020-06-29,1.0,4.0
2,2020-09-18,2.0,37.0
3,2020-08-17,0.0,4.0
4,2020-12-28,1.0,2.0
5,2020-04-06,0.0,3.0
6,2020-03-31,0.0,3.0
7,2020-12-16,0.0,13.0
8,2020-08-28,1.0,6.0
9,2020-04-30,2.0,46.0
10,2020-12-07,0.0,16.0
11,2020-10-07,2.0,33.0
12,2020-05-08,0.0,4.0
13,2020-04-14,1.0,2.0
14,2020-03-16,1.0,2.0
15,2020-10-28,1.0,2.0
16,2020-02-18,2.0,59.0
17,2020-02-25,2.0,54.0
18,2020-06-11,1.0,5.0
19,2020-03-06,2.0,47.0
20,2020-07-13,2.0,42.0
21,2021-01-15,0.0,35.0
22,2020-11-17,0.0,11.0
23,2020-09-14,2.0,36.0
24,2020-02-07,0.0,3.0
25,2020-09-17,2.0,37.0
26,2020-12-09,2.0,42.0
27,2020-04-08,2.0,43.0
28,2020-04-20,2.0,41.0
29,2020-06-09,2.0,53.0
30,2020-06-19,2.0,45.0
31,2020-10-09,1.0,4.0
32,2020-07-16,1.0,4.0
33,2020-02-28,2.0,51.0
34,2020-06-22,2.0,46.0
35,2020-04-24,1.0,3.0
36,2020-02-06,2.0,61.0
37,2020-06-10,0.0,5.0
38,2020-06-03,2.0,49.0
39,2020-04-01,2.0,37.0
40,2020-03-23,2.0,31.0
41,2020-08-31,0.0,6.0
42,2020-07-29,1.0,4.0
43,2020-02-26,0.0,3.0
44,2020-11-20,0.0,12.0
45,2020-11-27,1.0,4.0
46,2020-12-22,2.0,41.0
47,2020-08-03,1.0,4.0
48,2020-08-12,0.0,4.0
49,2020-05-28,2.0,45.0
50,2021-01-21,2.0,48.0
51,2020-05-13,1.0,4.0
52,2020-04-17,2.0,43.0
53,2020-06-30,1.0,4.0
54,2020-12-18,0.0,15.0
55,2021-01-28,0.0,193.0
56,2020-07-13,0.0,4.0
57,2020-09-10,2.0,37.0
58,2020-11-16,1.0,3.0
59,2020-08-26,2.0,40.0
60,2020-06-23,0.0,4.0
61,2020-04-28,1.0,4.0
62,2021-01-12,2.0,47.0
63,2020-02-10,1.0,6.0
64,2020-08-06,1.0,4.0
65,2020-03-04,1.0,5.0
66,2020-08-06,2.0,43.0
67,2020-02-13,0.0,4.0
68,2020-02-26,2.0,53.0
69,2020-02-25,0.0,3.0
70,2020-03-03,1.0,5.0
71,2020-12-10,0.0,14.0
72,2020-09-03,1.0,6.0
73,2020-10-01,2.0,33.0
74,2020-03-05,0.0,3.0
75,2020-03-26,2.0,38.0
76,2020-06-15,0.0,4.0
77,2020-12-10,1.0,4.0
78,2020-11-02,2.0,33.0
79,2020-10-29,2.0,32.0
80,2020-08-12,2.0,44.0
81,2020-03-27,1.0,3.0
82,2020-07-17,0.0,3.0
83,2021-01-12,0.0,19.0
84,2020-06-24,2.0,44.0
85,2021-01-06,0.0,18.0
86,2020-06-24,1.0,4.0
87,2020-07-14,2.0,44.0
88,2020-03-27,2.0,36.0
89,2020-10-30,2.0,32.0
90,2021-01-29,2.0,44.0
91,2020-12-31,0.0,18.0
92,2020-07-13,1.0,4.0
93,2020-05-21,0.0,4.0
94,2020-09-09,2.0,37.0
95,2020-11-02,1.0,2.0
96,2020-08-21,1.0,5.0
97,2020-11-11,2.0,36.0
98,2020-10-27,2.0,32.0
99,2020-04-16,1.0,2.0
100,2020-09-29,1.0,4.0
101,2020-03-02,2.0,53.0
102,2020-08-25,1.0,5.0
103,2020-09-09,0.0,7.0
104,2020-12-04,2.0,41.0
105,2020-06-02,1.0,5.0
106,2020-12-22,0.0,19.0
107,2020-11-24,2.0,41.0
108,2020-06-16,1.0,5.0
109,2020-11-09,1.0,3.0
110,2020-12-03,0.0,16.0
111,2020-10-20,1.0,3.0
112,2021-01-14,2.0,50.0
113,2020-11-05,1.0,2.0
114,2020-03-20,1.0,3.0
115,2020-06-05,2.0,53.0
116,2020-04-09,0.0,3.0
117,2020-02-21,1.0,7.0
118,2020-06-10,2.0,50.0
119,2020-06-26,0.0,4.0
120,2020-10-08,1.0,4.0
121,2020-07-30,1.0,4.0
122,2020-05-15,1.0,4.0
123,2020-04-17,1.0,3.0
124,2020-12-04,0.0,16.0
125,2020-06-15,1.0,5.0
126,2020-11-27,0.0,16.0
127,2020-09-21,1.0,5.0
128,2020-03-12,1.0,2.0
129,2020-06-17,0.0,4.0
130,2020-02-20,1.0,7.0
131,2020-11-12,1.0,2.0
132,2020-10-22,2.0,34.0
133,2020-06-01,0.0,4.0
134,2020-12-10,2.0,44.0
135,2020-10-21,0.0,14.0
136,2020-03-02,0.0,3.0
137,2020-11-19,2.0,37.0
138,2020-11-10,2.0,36.0
139,2020-07-28,0.0,3.0
140,2020-08-05,0.0,4.0
141,2020-09-21,2.0,36.0
142,2020-06-16,0.0,4.0
143,2020-07-15,0.0,4.0
144,2020-10-19,2.0,33.0
145,2020-11-18,1.0,3.0
146,2021-01-25,0.0,76.0
147,2020-05-20,1.0,4.0
148,2020-08-26,0.0,5.0
149,2020-03-16,0.0,4.0
150,2020-09-18,0.0,9.0
151,2020-03-25,2.0,37.0
152,2021-01-20,2.0,49.0
153,2020-03-18,2.0,33.0
154,2020-12-24,1.0,2.0
155,2020-10-21,2.0,33.0
156,2020-11-11,0.0,11.0
157,2020-03-12,0.0,3.0
158,2021-01-12,1.0,2.0
159,2020-07-20,1.0,4.0
160,2020-04-13,0.0,4.0
161,2020-06-02,0.0,4.0
162,2020-12-04,1.0,3.0
163,2020-12-03,2.0,40.0
164,2020-11-30,1.0,4.0
165,2020-11-13,0.0,11.0
166,2021-01-15,1.0,2.0
167,2020-08-27,0.0,5.0
168,2021-01-20,0.0,39.0
169,2020-10-23,1.0,2.0
170,2020-12-07,2.0,40.0
171,2020-06-12,0.0,4.0
172,2020-02-28,0.0,3.0
173,2020-12-16,2.0,43.0
174,2020-08-17,2.0,42.0
175,2020-07-16,0.0,4.0
176,2020-07-06,1.0,4.0
177,2020-06-01,2.0,46.0
178,2020-09-24,1.0,4.0
179,2020-09-17,0.0,9.0
180,2020-10-02,1.0,4.0
181,2020-08-18,0.0,4.0
182,2020-09-01,2.0,39.0
183,2020-06-23,1.0,5.0
184,2020-08-20,0.0,4.0
185,2020-07-30,0.0,4.0
186,2020-09-02,1.0,7.0
187,2020-05-12,0.0,4.0
188,2020-08-13,1.0,5.0
189,2020-12-11,0.0,13.0
190,2020-08-24,0.0,4.0
191,2020-05-08,1.0,4.0
192,2020-11-02,0.0,10.0
193,2021-01-22,1.0,3.0
194,2020-12-02,2.0,39.0
195,2020-11-16,0.0,12.0
196,2020-06-25,2.0,45.0
197,2020-02-14,2.0,60.0
198,2020-05-01,1.0,4.0
199,2020-06-04,1.0,5.0
200,2021-01-04,1.0,2.0
201,2020-02-03,2.0,60.0
202,2020-06-08,2.0,54.0
203,2020-11-17,1.0,2.0
204,2020-02-27,0.0,3.0
205,2020-05-13,2.0,41.0
206,2020-03-31,2.0,37.0
207,2020-02-28,1.0,6.0
208,2020-08-11,1.0,4.0
209,2020-04-01,0.0,3.0
210,2021-01-15,2.0,47.0
211,2020-09-16,1.0,5.0
212,2021-01-08,1.0,2.0
213,2020-03-24,0.0,4.0
214,2020-12-22,1.0,2.0
215,2020-06-26,2.0,43.0
216,2020-09-25,1.0,4.0
217,2020-06-03,0.0,4.0
218,2020-06-18,1.0,5.0
219,2020-03-11,2.0,41.0
220,2020-12-29,0.0,19.0
221,2020-09-14,1.0,5.0
222,2020-05-01,0.0,6.0
223,2020-04-09,2.0,43.0
224,2020-10-05,1.0,4.0
225,2020-09-24,0.0,9.0
226,2020-07-28,1.0,4.0
227,2020-04-08,1.0,3.0
228,2020-04-21,1.0,3.0
229,2020-09-03,0.0,7.0
230,2020-10-16,0.0,13.0
231,2020-05-21,2.0,44.0
232,2020-05-27,1.0,5.0
233,2021-01-25,2.0,46.0
234,2020-05-26,1.0,5.0
235,2020-07-21,2.0,44.0
236,2020-02-10,2.0,59.0
237,2020-02-07,2.0,61.0
238,2020-08-27,1.0,6.0
239,2020-10-12,1.0,4.0
240,2021-01-21,0.0,43.0
241,2021-01-07,1.0,2.0
242,2020-04-23,1.0,3.0
243,2020-11-12,0.0,11.0
244,2020-06-01,1.0,5.0
245,2020-07-07,1.0,4.0
246,2020-05-26,0.0,4.0
247,2020-11-23,1.0,3.0
248,2020-05-07,1.0,3.0
249,2020-05-05,2.0,44.0
250,2020-08-21,2.0,41.0
251,2020-11-06,2.0,32.0
252,2020-08-13,0.0,4.0
253,2020-07-29,2.0,44.0
254,2020-08-03,0.0,4.0
255,2020-04-15,2.0,40.0
256,2021-01-25,1.0,4.0
257,2020-09-04,2.0,39.0
258,2020-03-05,1.0,4.0
259,2020-03-19,2.0,34.0
260,2020-07-14,1.0,4.0
261,2020-12-07,1.0,3.0
262,2020-11-25,1.0,4.0
263,2020-12-21,0.0,15.0
264,2020-11-10,0.0,11.0
265,2021-01-29,1.0,13.0
266,2020-09-16,2.0,37.0
267,2021-01-07,2.0,44.0
268,2020-12-17,1.0,2.0
269,2020-10-09,2.0,34.0
270,2021-01-11,2.0,46.0
271,2020-02-12,0.0,4.0
272,2020-07-24,0.0,4.0
273,2020-09-25,0.0,10.0
274,2020-05-06,1.0,3.0
275,2020-02-04,2.0,59.0
276,2020-08-07,2.0,43.0
277,2021-01-26,2.0,45.0
278,2020-04-02,1.0,2.0
279,2020-09-22,2.0,35.0
280,2020-10-22,1.0,3.0
281,2020-02-11,2.0,60.0
282,2020-06-26,1.0,4.0
283,2020-05-28,1.0,5.0
284,2020-03-10,0.0,4.0
285,2020-07-07,2.0,43.0
286,2020-09-30,2.0,34.0
287,2020-12-29,2.0,41.0
288,2020-09-02,0.0,7.0
289,2020-10-15,1.0,2.0
290,2020-07-27,0.0,4.0
291,2020-08-26,1.0,5.0
292,2020-04-23,0.0,4.0
293,2021-01-05,1.0,1.0
294,2020-05-19,2.0,43.0
295,2020-11-04,0.0,10.0
296,2020-03-20,0.0,3.0
297,2020-07-27,2.0,44.0
298,2020-02-24,2.0,56.0
299,2020-10-13,1.0,3.0
300,2020-08-20,2.0,41.0
301,2020-07-01,0.0,4.0
302,2021-01-05,2.0,43.0
303,2020-08-14,2.0,43.0
304,2020-10-16,1.0,3.0
305,2020-12-17,2.0,43.0
306,2020-09-01,0.0,7.0
307,2020-08-10,1.0,4.0
308,2020-09-24,2.0,34.0
309,2020-05-11,1.0,5.0
310,2020-08-17,1.0,5.0
311,2020-08-05,1.0,4.0
312,2020-11-05,0.0,11.0
313,2020-12-08,1.0,3.0
314,2020-12-23,1.0,2.0
315,2020-03-23,0.0,3.0
316,2020-07-24,1.0,4.0
317,2020-12-30,1.0,2.0
318,2020-07-20,0.0,3.0
319,2020-07-06,2.0,44.0
320,2020-02-06,1.0,6.0
321,2020-07-29,0.0,4.0
322,2020-02-13,2.0,60.0
323,2020-03-24,1.0,3.0
324,2020-10-26,0.0,13.0
325,2020-05-18,2.0,45.0
326,2020-06-25,1.0,4.0
327,2020-10-05,2.0,33.0
328,2020-04-06,2.0,40.0
329,2020-12-15,0.0,13.0
330,2020-12-28,2.0,41.0
331,2020-07-31,2.0,42.0
332,2020-08-31,1.0,5.0
333,2020-09-09,1.0,6.0
334,2020-06-05,1.0,5.0
335,2020-05-07,0.0,4.0
336,2020-04-13,2.0,42.0
337,2021-01-20,1.0,2.0
338,2020-05-27,0.0,4.0
339,2020-07-28,2.0,43.0
340,2020-10-29,0.0,11.0
341,2020-08-24,1.0,5.0
342,2021-01-05,0.0,17.0
343,2020-10-02,0.0,9.0
344,2021-01-27,1.0,19.0
345,2020-05-06,2.0,43.0
346,2021-01-29,0.0,325.0
347,2020-04-29,0.0,6.0
348,2020-04-24,0.0,4.0
349,2020-02-05,0.0,4.0
350,2020-11-23,0.0,13.0
351,2020-03-13,2.0,38.0
352,2020-12-09,0.0,13.0
353,2020-08-31,2.0,39.0
354,2020-07-15,2.0,44.0
355,2020-02-04,0.0,4.0
356,2020-02-05,1.0,7.0
357,2021-01-13,2.0,48.0
358,2020-08-28,2.0,40.0
359,2020-08-10,2.0,44.0
360,2020-12-28,0.0,20.0
361,2020-03-09,2.0,41.0
362,2020-10-01,1.0,4.0
363,2020-11-30,0.0,16.0
364,2020-04-02,2.0,40.0
365,2020-11-09,0.0,11.0
366,2020-04-13,1.0,2.0
367,2020-05-19,1.0,4.0
368,2020-07-30,2.0,41.0
369,2020-05-18,1.0,4.0
370,2020-02-25,1.0,6.0
371,2021-01-19,1.0,3.0
372,2020-11-20,1.0,3.0
373,2020-11-16,2.0,38.0
374,2020-10-22,0.0,14.0
375,2020-04-20,0.0,5.0
376,2020-10-15,2.0,34.0
377,2020-10-15,0.0,13.0
378,2020-03-05,2.0,50.0
379,2020-04-20,1.0,3.0
380,2020-03-17,0.0,4.0
381,2020-05-29,0.0,4.0
382,2020-12-01,1.0,4.0
383,2020-06-04,2.0,49.0
384,2020-05-18,0.0,4.0
385,2020-12-21,1.0,2.0
386,2020-11-18,2.0,37.0
387,2020-10-07,1.0,4.0
388,2020-07-02,0.0,4.0
389,2020-09-08,2.0,38.0
390,2020-07-16,2.0,44.0
391,2021-01-19,2.0,48.0
392,2020-05-26,2.0,45.0
393,2020-12-02,0.0,16.0
394,2020-09-21,0.0,8.0
395,2020-11-11,1.0,3.0
396,2020-06-11,0.0,4.0
397,2020-06-03,1.0,5.0
398,2020-09-08,0.0,7.0
399,2020-06-22,0.0,4.0
400,2020-08-07,0.0,4.0
401,2020-08-25,2.0,40.0
402,2020-09-18,1.0,5.0
403,2020-05-07,2.0,44.0
404,2020-07-17,2.0,43.0
405,2020-08-19,0.0,4.0
406,2020-04-23,2.0,43.0
407,2020-08-20,1.0,5.0
408,2020-06-17,1.0,5.0
409,2020-02-12,1.0,6.0
410,2020-09-11,2.0,36.0
411,2020-04-09,1.0,2.0
412,2020-04-29,1.0,5.0
413,2020-11-18,0.0,11.0
414,2020-07-10,2.0,42.0
415,2020-06-30,0.0,4.0
416,2020-03-20,2.0,32.0
417,2020-03-31,1.0,3.0
418,2020-12-21,2.0,41.0
419,2020-03-25,1.0,3.0
420,2020-12-15,1.0,2.0
421,2020-05-11,0.0,4.0
422,2021-01-13,1.0,2.0
423,2020-08-05,2.0,43.0
424,2020-12-31,1.0,2.0
425,2020-02-27,2.0,49.0
426,2020-06-12,1.0,5.0
427,2020-05-15,0.0,4.0
428,2020-05-20,0.0,4.0
429,2020-07-24,2.0,43.0
430,2020-03-30,2.0,37.0
431,2020-11-13,1.0,2.0
432,2020-10-20,0.0,13.0
433,2021-02-01,2.0,44.0
434,2020-10-27,1.0,2.0
435,2020-04-15,0.0,5.0
436,2020-09-28,1.0,4.0
437,2020-08-13,2.0,43.0
438,2020-08-18,2.0,42.0
439,2020-09-10,1.0,5.0
440,2020-11-12,2.0,35.0
441,2020-07-09,1.0,4.0
442,2020-07-08,2.0,43.0
443,2020-06-15,2.0,47.0
444,2020-09-02,2.0,39.0
445,2020-02-21,2.0,59.0
446,2020-04-28,0.0,5.0
447,2020-10-06,2.0,33.0
448,2020-11-03,2.0,33.0
449,2020-03-04,0.0,3.0
450,2020-10-05,0.0,9.0
451,2020-03-12,2.0,37.0
452,2020-05-20,2.0,45.0
453,2020-09-23,0.0,10.0
454,2020-07-21,0.0,4.0
455,2020-04-17,0.0,4.0
456,2020-07-10,1.0,4.0
457,2020-07-23,0.0,4.0
458,2020-03-18,1.0,2.0
459,2020-03-09,1.0,3.0
460,2020-03-09,0.0,3.0
461,2020-10-23,2.0,34.0
462,2020-07-31,1.0,4.0
463,2020-11-19,0.0,12.0
464,2020-04-14,2.0,42.0
465,2020-05-29,1.0,5.0
466,2020-08-11,2.0,44.0
467,2020-08-10,0.0,4.0
468,2020-10-06,1.0,4.0
469,2020-12-01,2.0,38.0
470,2020-08-07,1.0,4.0
471,2020-11-23,2.0,39.0
472,2020-09-15,2.0,36.0
473,2020-03-13,1.0,3.0
474,2020-03-03,0.0,3.0
475,2020-05-19,0.0,4.0
476,2020-11-30,2.0,38.0
477,2020-07-09,0.0,4.0
478,2020-05-13,0.0,4.0
479,2021-01-19,0.0,39.0
480,2020-09-15,1.0,5.0
481,2021-01-27,0.0,347.0
482,2020-10-23,0.0,15.0
483,2020-05-08,2.0,46.0
484,2020-11-04,2.0,33.0
485,2020-04-22,1.0,3.0
486,2020-05-11,2.0,45.0
487,2020-08-14,0.0,4.0
488,2020-11-20,2.0,36.0
489,2020-05-06,0.0,4.0
490,2020-03-10,2.0,43.0
491,2020-12-23,2.0,41.0
492,2020-03-17,2.0,36.0
493,2021-01-08,0.0,17.0
494,2020-04-21,2.0,40.0
495,2020-11-06,0.0,11.0
496,2020-04-07,1.0,3.0
497,2020-06-18,0.0,4.0
498,2020-10-14,2.0,34.0
499,2020-10-19,1.0,3.0
500,2020-02-11,0.0,4.0
501,2020-02-14,0.0,4.0
502,2020-09-25,2.0,34.0
503,2020-07-08,1.0,4.0
504,2020-10-21,1.0,3.0
505,2020-03-18,0.0,3.0
506,2020-03-17,1.0,2.0
507,2020-05-12,1.0,5.0
508,2020-04-21,0.0,4.0
509,2020-03-23,1.0,3.0
510,2020-06-23,2.0,46.0
511,2020-10-13,2.0,34.0
512,2020-10-08,0.0,13.0
513,2020-07-02,1.0,4.0
514,2020-08-24,2.0,42.0
515,2020-08-14,1.0,5.0
516,2020-12-16,1.0,2.0
517,2020-05-22,1.0,4.0
518,2020-03-25,0.0,4.0
519,2020-03-03,2.0,51.0
520,2021-01-04,2.0,41.0
521,2020-02-20,2.0,59.0
522,2020-02-24,0.0,3.0
523,2020-10-30,1.0,2.0
524,2020-09-15,0.0,7.0
525,2020-03-02,1.0,6.0
526,2020-06-10,1.0,6.0
527,2021-01-14,1.0,2.0
528,2020-02-05,2.0,62.0
529,2020-09-22,0.0,10.0
530,2021-01-26,0.0,147.0
