KZN,AER
LPA,GVA
ZRH,LPA
GVA,TFS
LPA,ZRH
SIN,BKK
SIN,HAK
SIN,HGH
SIN,HKG
MNL,KIX
TPE,KIX
SIN,KUL
KIX,MNL
SIN,MNL
SIN,SGN
BKK,SIN
HAK,SIN
HGH,SIN
HKG,SIN
KUL,SIN
MNL,SIN
SGN,SIN
TPE,SIN
KIX,TPE
SIN,TPE
MCO,FLL
TPA,FLL
FLL,MCO
FLL,TPA
CMN,BCN
CMN,BRU
BCN,CMN
BRU,CMN
LGW,CMN
LYS,CMN
SAW,CMN
CMN,LGW
CMN,LYS
CMN,SAW
CKG,CAN
CTU,CAN
CKG,CGO
CTU,CGO
HGH,CGO
HRB,CGO
KMG,CGO
URC,CGO
CAN,CKG
CGO,CKG
CSX,CKG
CTU,CKG
DLC,CKG
HAK,CKG
HGH,CKG
KMG,CKG
NKG,CKG
NNG,CKG
PEK,CKG
PVG,CKG
SYD,CKG
SYX,CKG
SZX,CKG
TNA,CKG
TSN,CKG
TYN,CKG
URC,CKG
WUH,CKG
XIY,CKG
CKG,CSX
CTU,CSX
FOC,CSX
KMG,CSX
SHE,CSX
XMN,CSX
CAN,CTU
CGO,CTU
CKG,CTU
CSX,CTU
HAK,CTU
HGH,CTU
HKG,CTU
ICN,CTU
KMG,CTU
KWE,CTU
MEL,CTU
NKG,CTU
NNG,CTU
PEK,CTU
PVG,CTU
SHE,CTU
SYX,CTU
SZX,CTU
TAO,CTU
TNA,CTU
TSN,CTU
TYN,CTU
URC,CTU
WUH,CTU
XIY,CTU
XMN,CTU
CKG,DLC
HGH,DLC
HRB,DLC
TNA,DLC
CSX,FOC
XIY,FOC
CKG,HAK
CTU,HAK
HGH,HAK
CGO,HGH
CKG,HGH
CTU,HGH
DLC,HGH
HAK,HGH
KWE,HGH
TSN,HGH
TYN,HGH
CTU,HKG
CGO,HRB
DLC,HRB
NKG,HRB
TNA,HRB
TSN,HRB
WUH,HRB
XIY,HRB
CTU,ICN
CGO,KMG
CKG,KMG
CSX,KMG
CTU,KMG
KWE,KMG
NKG,KMG
TAO,KMG
TNA,KMG
TPE,KMG
XIY,KMG
XMN,KMG
CTU,KWE
HGH,KWE
KMG,KWE
SYX,KWE
SYX,KWL
CTU,MEL
CKG,NKG
CTU,NKG
HRB,NKG
KMG,NKG
SYX,NKG
CKG,NNG
CTU,NNG
SGN,NNG
WUH,NNG
CKG,PEK
CTU,PEK
CKG,PVG
CTU,PVG
NNG,SGN
CSX,SHE
CTU,SHE
TYN,SHE
YVR,SHE
CKG,SYD
CKG,SYX
CTU,SYX
KWE,SYX
KWL,SYX
NKG,SYX
TNA,SYX
CKG,SZX
CTU,SZX
CTU,TAO
KMG,TAO
CKG,TNA
CTU,TNA
DLC,TNA
HRB,TNA
KMG,TNA
SYX,TNA
XIY,TNA
KMG,TPE
CKG,TSN
CTU,TSN
HGH,TSN
HRB,TSN
CKG,TYN
CTU,TYN
HGH,TYN
SHE,TYN
CGO,URC
CKG,URC
CTU,URC
XIY,URC
CKG,WUH
CTU,WUH
HRB,WUH
NNG,WUH
CKG,XIY
CTU,XIY
FOC,XIY
HRB,XIY
KMG,XIY
TNA,XIY
URC,XIY
XMN,XIY
CSX,XMN
CTU,XMN
KMG,XMN
XIY,XMN
SHE,YVR
LAX,LAS
LAS,LAX
TLV,CAI
CAI,TLV
MEX,BOG
MEX,CUN
MEX,JFK
BOG,MEX
CUN,MEX
JFK,MEX
MIA,MEX
MEX,MIA
ZRH,AYT
AYT,ZRH
STR,AGP
TXL,AGP
HAM,AMS
CGN,ARN
DUS,ARN
HAM,ARN
CGN,ATH
STR,ATH
CGN,AYT
CGN,BCN
DUS,BCN
HAM,BCN
STR,BCN
HAM,BHX
TXL,BHX
STR,BRU
HAM,CDG
ARN,CGN
ATH,CGN
AYT,CGN
BCN,CGN
CTA,CGN
DUB,CGN
EDI,CGN
FAO,CGN
FCO,CGN
HAM,CGN
HER,CGN
LHR,CGN
LIS,CGN
LPA,CGN
MAN,CGN
MXP,CGN
NCE,CGN
PMI,CGN
PRG,CGN
SAW,CGN
STN,CGN
TLV,CGN
TXL,CGN
VCE,CGN
VIE,CGN
WAW,CGN
ZRH,CGN
CGN,CTA
DUS,CTA
HAM,CTA
STR,CTA
TXL,CTA
CGN,DUB
DUS,DUB
ARN,DUS
BCN,DUS
CTA,DUS
DUB,DUS
GVA,DUS
HER,DUS
LYS,DUS
MAD,DUS
MXP,DUS
PMI,DUS
PRG,DUS
VCE,DUS
WAW,DUS
CGN,EDI
CGN,FAO
HAM,FAO
STR,FAO
CGN,FCO
HAM,FCO
STR,FCO
TXL,FCO
DUS,GVA
HAM,GVA
AMS,HAM
ARN,HAM
BCN,HAM
BHX,HAM
CDG,HAM
CGN,HAM
CTA,HAM
FAO,HAM
FCO,HAM
GVA,HAM
HER,HAM
LHR,HAM
MAD,HAM
MAN,HAM
MXP,HAM
NCE,HAM
OSL,HAM
PMI,HAM
PRG,HAM
SAW,HAM
STR,HAM
VCE,HAM
VIE,HAM
ZRH,HAM
TXL,HEL
CGN,HER
DUS,HER
HAM,HER
STR,HER
TXL,HER
CGN,LHR
HAM,LHR
STR,LHR
TXL,LHR
CGN,LIS
STR,LIS
CGN,LPA
DUS,LYS
DUS,MAD
HAM,MAD
CGN,MAN
HAM,MAN
CGN,MXP
DUS,MXP
HAM,MXP
STR,MXP
CGN,NCE
HAM,NCE
TXL,NCE
HAM,OSL
CGN,PMI
DUS,PMI
HAM,PMI
STR,PMI
TXL,PMI
CGN,PRG
DUS,PRG
HAM,PRG
CGN,SAW
HAM,SAW
STR,SAW
TXL,SAW
CGN,STN
STR,STN
AGP,STR
ATH,STR
BCN,STR
BRU,STR
CTA,STR
FAO,STR
FCO,STR
HAM,STR
HER,STR
